CODE,NAME CLASSIFICATION,VALUE,LEVEL
00,GENERAL CPI,104.69,group
01,Food and non-alcoholic beverages ,108.42,group
01.1,Food,108.74,subgroup
01.1.1,Bread and cereals (ND),106.21,class
01.1.2,Meat (ND),106.56,class
01.1.3,Fish (ND) and seafood,109.6,class
01.1.4,"Milk, cheese and eggs (ND)",103.41,class
01.1.5,Oils and fats (ND),101.98,class
01.1.6,Fruit (ND),97.29,class
01.1.7,Vegetables (ND),117.38,class
01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",97.4,class
01.1.9,Food products n.e.c. (ND),111.38,class
01.2,Non?alcoholic beverages,101.95,subgroup
01.2.1,"Coffee, tea and cocoa (ND)",108.91,class
01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices (ND)",101.39,class
02,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",113.52,group
02.1,Alcoholic beverages,104.32,subgroup
02.1.1,Spirits (ND),106.51,class
02.1.2,Wine (ND),106.62,class
02.1.3,Beer (ND),104.06,class
02.2,Tobacco,126.93,subgroup
02.2.1,Tobacco (ND),126.93,class
03,CLOTHING AND FOOTWEAR,103.68,group
03.1,Clothing,102.08,subgroup
03.1.1,Clothing materials (SD),107.94,class
03.1.2,Garments (SD),103.24,class
03.1.3,Other articles of clothing and clothing accessories (SD),97.2,class
03.1.4,"Cleaning, repair and hire of clothing (S)",96.64,class
03.2,Footwear,108.38,subgroup
03.2.1,Shoes and other footwear (SD),109,class
03.2.2,Repair and hire of footwear (S),91.86,class
04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",106.65,group
04.1,Actual rentals for housing,100.79,subgroup
04.1.1,Actual rentals paid by tenants (S),100.79,class
04.2,Imputed rentals for housing,100.46,subgroup
04.2.1,Imputed rentals of owner?occupiers (S),100.46,class
04.3,Maintenance and repair of the dwelling,114.56,subgroup
04.3.1,Materials for the maintenance and repair of the dwelling (ND),101.06,class
04.3.2,Services for the maintenance and repair of the dwelling (S),126.25,class
04.4,Water supply and miscellaneous services relating to the dwelling,108.73,subgroup
04.4.1,Water supply (S),109.71,class
04.4.2,Rubbish collection,103.62,class
04.5,"Electricity, gas and other fuels",114.37,subgroup
04.5.1,Electricity (ND),116.22,class
04.5.2,Gas (ND),89.43,class
04.5.4,Solid fuels (ND),114.98,class
05,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE",103.55,group
05.1,"Furniture and furnishings, carpets and other floor coverings",100.71,subgroup
05.1.1,Furniture and furnishings (D),100.78,class
05.1.2,Carpets and other floor coverings (D),98.92,class
05.1.3,"Repair of furniture, furnishings and floor coverings (S)",102.4,class
05.2,Household textiles,99.68,subgroup
05.2.1,Household textiles (SD),99.68,class
05.3,Household appliances,106.78,subgroup
05.3.1,Major household appliances whether electric or not (D),102.39,class
05.3.2,Small electric household appliances (SD),113.62,class
05.3.3,Repair of household appliances (S),104.54,class
05.4,"Glassware, tableware and household utensils",102.92,subgroup
05.4.1,"Glassware, tableware and household utensils (SD)",102.92,class
05.5,Tools and equipment for house and garden,109.59,subgroup
05.5.2,Small tools and miscellaneous accessories (SD),109.59,class
05.6,Goods and services for routine household maintenance,104.71,subgroup
05.6.1,Non?durable household goods (ND),100.55,class
05.6.2,Domestic services and household services (S),109.69,class
06,HEALTH,99.97,group
